Id,Name,Description,Address,ContactNumber,AdminUserId
ce52d9e7-c789-4726-a431-01907bc55046,Gölcük Astsubay Orduevi,"Türk Silahlı Kuvvetlerine bağlı Gölcük Astsubay Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Gölcük Astsubay Orduevi içerisinde konaklamak isteyenler için; Gölcük Astsubay Orduevi Fiyatları, Gölcük Astsubay Orduevi Resimleri, Gölcük Astsubay Orduevi Rezervasyon, Gölcük Astsubay Askeri Gazino ve Gölcük Astsubay Orduevi Yorumları ‘na yer verdik.","Merkez Mahallesi, Mareşal Fevzi Çakmak Caddesi Gölcük – Kocaeli",0262 414 66 01,admin-123
526328c7-8999-401f-973a-fb765b614eb4,Çankırı Orduevi,"Türk Silahlı Kuvvetlerine bağlı Çankırı Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Çankırı Orduevi içerisinde konaklamak isteyenler için; Çankırı Orduevi Fiyatları, Çankırı Orduevi Resimleri, Çankırı Orduevi Rezervasyon, Çankırı Askeri Gazino ve Çankırı Orduevi Yorumları ‘na yer verdik.","Cumhuriyet Mahallesi, Necip Fazıl Kısakürek Sokak Merkez – Çankırı",0376 212 59 40,admin-123
43be8d6a-16cf-4eee-ab5f-0e09efdfe7ec,Mardin Orduevi,"Türk Silahlı Kuvvetlerine bağlı Mardin Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Mardin Orduevi içerisinde konaklamak isteyenler için; Mardin Orduevi Fiyatları, Mardin Orduevi Resimleri, Mardin Orduevi Rezervasyon, Mardin Askeri Gazino ve Mardin Orduevi Yorumları ‘na yer verdik.","Savurkapı Mahallesi, Nusaybin Yolu Üzeri, Artuklu – Mardin",0482 212 77 14 — 0482 213 78 93,admin-123
53c51875-dcbf-4b68-bf28-7ba02da7f51f,Kocaeli Orduevi,"Türk Silahlı Kuvvetlerine bağlı Kocaeli Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Kocaeli Orduevi içerisinde konaklamak isteyenler için; Kocaeli Orduevi Fiyatları, Kocaeli Orduevi Resimleri, Kocaeli Orduevi Rezervasyon, Kocaeli Askeri Gazino ve Kocaeli Orduevi Yorumları ‘na yer verdik.","Kozluk Mahallesi, Orduevi Sokak, Seka Cami Karşısı İzmit – Kocaeli",0262 323 93 09,admin-123
30c03270-2592-4414-81f4-8caf5ac06f77,Yüksekova Orduevi,"Türk Silahlı Kuvvetlerine bağlı Yüksekova Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Yüksekova Orduevi içerisinde konaklamak isteyenler için; Yüksekova Orduevi Fiyatları, Yüksekova Orduevi Resimleri, Yüksekova Orduevi Rezervasyon, Yüksekova Askeri Gazino ve Yüksekova Orduevi Yorumları ‘na yer verdik.","İpek Mahallesi, Yüksekova Esendere Yolu Üzeri Yüksekova – Hakkari",0438 351 06 54,admin-123
df6f0799-eb6b-4d36-bddb-903ee736278c,Osmaniye Jandarma Orduevi,"Türk Silahlı Kuvvetlerine bağlı Osmaniye Jandarma Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Osmaniye Jandarma Orduevi içerisinde konaklamak isteyenler için; Osmaniye Jandarma Orduevi Fiyatları, Osmaniye Jandarma Orduevi Resimleri, Osmaniye Jandarma Orduevi Rezervasyon, Osmaniye Jandarma Askeri Gazino ve Osmaniye Jandarma Orduevi Yorumları ‘na yer verdik.","Selimiye Mahallesi, Musa  Şahin Bulvarı, Merkez – Osmaniye",0328 813 00 53,admin-123
93e77b76-29b4-4206-9482-8f5b77889d80,Afyon Orduevi,"Türk Silahlı Kuvvetlerine bağlı Afyon Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Afyon Orduevi içerisinde konaklamak isteyenler için; Afyon Orduevi Fiyatları, Afyon Orduevi Resimleri, Afyon Orduevi Rezervasyon ve Afyon Orduevi Yorumları ‘na yer verdik.","Dumlupınar, Ordu Bulvarı, No26 Merkez – Afyonkarahisar",0272 213 15 53,admin-123
6d7da466-7e2f-4e89-a252-9f8b9ea6f1ab,Kahramanmaraş Orduevi,"Türk Silahlı Kuvvetlerine bağlı Kahramanmaraş Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Kahramanmaraş Orduevi içerisinde konaklamak isteyenler için; Kahramanmaraş Orduevi Fiyatları, Kahramanmaraş Orduevi Resimleri, Kahramanmaraş Orduevi Rezervasyon, Kahramanmaraş Askeri Gazino ve Kahramanmaraş Orduevi Yorumları ‘na yer verdik.","Gazi Paşa Mahallesi, Kışla Caddesi, No4 Merkez – Kahramanmaraş",0344 223 03 45,admin-123
6c627508-b706-41ce-80d0-3d3d61208d28,Karadeniz Ereğli Orduevi,"Türk Silahlı Kuvvetlerine bağlı Karadeniz Ereğli Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Karadeniz Ereğli Orduevi içerisinde konaklamak isteyenler için; Karadeniz Ereğli Orduevi Fiyatları, Karadeniz Ereğli Orduevi Resimleri, Karadeniz Ereğli Orduevi Rezervasyon, Karadeniz Ereğli Askeri Gazino ve Karadeniz Ereğli Orduevi Yorumları ‘na yer verdik.","Süleymanlar Mahallesi, Hastane Caddesi, Ereğli – Zonguldak",0372 315 08 01,admin-123
f7b3267c-dd11-4a88-8465-8c44344bdf56,Sivrihisar Orduevi,"Türk Silahlı Kuvvetlerine bağlı Sivrihisar Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Sivrihisar Orduevi içerisinde konaklamak isteyenler için; Sivrihisar Orduevi Fiyatları, Sivrihisar Orduevi Resimleri, Sivrihisar Orduevi Rezervasyon, Sivrihisar Askeri Gazino ve Sivrihisar Orduevi Yorumları ‘na yer verdik.","Bahçecik Mahallesi, Sivrihisar – Eskişehir",0222 712 54 47,admin-123
